model,horizon,target,rmse_z,mae_z,bias_z,acc,skill_vs_climatology,skill_vs_persistence,rmse_physical,mae_physical,bias_physical,r2_physical,crps_z,nll_z,coverage_90,interval_width_90_z
Neural backbone,168 h,wind_speed_ms,0.9804298423555099,0.7765223979949951,-0.004953783005475998,0.12505417346452938,0.016258447169547385,0.4812237591701163,1.9184869194469665,1.3811005353927612,-0.014349686913192272,0.47753139443803816,0.5459259748458862,1.3716988563537598,0.8980127912288717,3.089538335800171
Neural backbone,168 h,precipitation_mm,1.3199782540957656,0.9565238356590271,0.009340529330074787,0.1426680183149699,0.01927019724132295,0.48249879386392747,1.4529440982563924,0.69197678565979,-0.2510093152523041,0.10021254987290296,0.6773659586906433,1.6156566143035889,0.8983934825643368,3.6266520023345947
PMWM (reservoir),6 h,temperature_c,0.35556588574931647,0.2645995020866394,0.0026831612922251225,0.9346492128048023,0.8916609332781702,0.9626901013608903,0.7115731384527473,0.5130565166473389,-0.010733083821833134,0.9917943609048586,0.18842698633670807,0.2754497528076172,0.9071366935688544,1.1033387184143066
PMWM (reservoir),6 h,pressure_hpa,0.25140960975616383,0.178434357047081,-0.024375103414058685,0.9701190105897866,0.9408773510869544,0.9254814754953717,1.2225885829542849,0.8250081539154053,-0.034005697816610336,0.977428244730729,0.12832467257976532,-0.13211514055728912,0.8926704228211766,0.7041150331497192
PMWM (reservoir),6 h,wind_speed_ms,0.721938028928008,0.5526832342147827,-0.02438303828239441,0.7281081173183023,0.5210579237640073,0.43063560799501754,1.2602038190629123,0.9105194807052612,-0.07213065773248672,0.7747603513546066,0.39080503582954407,1.0161828994750977,0.897086442312573,2.2126941680908203
PMWM (reservoir),6 h,precipitation_mm,0.6589662559564472,0.4107770621776581,-0.0051145413890480995,0.8677609032595781,0.7511237942949313,0.39618307887385884,0.8068535179747506,0.3377726376056671,-0.07404351979494095,0.7005865085757176,0.3007093369960785,0.6535872220993042,0.8993705903253641,1.6054555177688599
PMWM (reservoir),24 h,temperature_c,0.6398695934698433,0.4801778793334961,-0.07814430445432663,0.7912620675882318,0.6893589336353965,0.35062251549198575,1.3648968935720758,0.960740327835083,-0.11114268749952316,0.9745577495456847,0.34257352352142334,0.8826295137405396,0.8964646464646465,1.9714937210083008
PMWM (reservoir),24 h,pressure_hpa,0.6647345340015628,0.5022377371788025,-0.03897542878985405,0.7643016770619906,0.5841429590442591,0.38462510301374553,4.202521185064161,2.7579474449157715,-0.13343212008476257,0.7359793620424677,0.35811322927474976,0.9388050436973572,0.899573625704279,2.069096088409424
PMWM (reservoir),24 h,wind_speed_ms,0.9090380368788333,0.7157583236694336,-0.033937178552150726,0.4005332416692406,0.1546162860509862,0.3399122355955193,1.7910874413721378,1.275942325592041,-0.08093979954719543,0.5448171007704545,0.5036633610725403,1.28290855884552,0.8983681031419725,2.872925281524658
PMWM (reservoir),24 h,precipitation_mm,1.1582386339479251,0.7707253694534302,-0.06461190432310104,0.4999840784473827,0.24509408268543176,0.4417919826475949,1.3636026085663853,0.6016448736190796,-0.24601438641548157,0.20776871136521946,0.5561294555664062,1.3778657913208008,0.8975559616263133,2.8692238330841064
PMWM (reservoir),72 h,temperature_c,0.9268005168309127,0.7214515209197998,-0.19927768409252167,0.4897426704013429,0.34821023289035036,0.3812170410165685,1.986983979612215,1.4494988918304443,-0.3565565347671509,0.9460862667448324,0.5091267824172974,1.2895574569702148,0.8924546977310797,2.8928041458129883
PMWM (reservoir),72 h,pressure_hpa,0.9905950427414416,0.7748569846153259,-0.09707382321357727,0.286148441291236,0.07647315548435019,0.4254772816562883,6.420244515774612,4.34708309173584,-0.37410569190979004,0.38371735165552046,0.548449695110321,1.3775548934936523,0.899865489061469,3.173410415649414
PMWM (reservoir),72 h,wind_speed_ms,0.9750644638074024,0.7715299129486084,-0.012249000370502472,0.16420958045318237,0.02723957278174738,0.46801673643069897,1.9130662466285002,1.3751128911972046,-0.03503222018480301,0.4806403078046353,0.5424853563308716,1.3642407655715942,0.8991929343688138,3.083960771560669
PMWM (reservoir),72 h,precipitation_mm,1.3019458952530476,0.9330522418022156,-0.0016964607639238238,0.21709641181850875,0.04621669012462848,0.47088435405538787,1.4447799113738986,0.6813437342643738,-0.2498164027929306,0.11062441469027229,0.6617862582206726,1.5859336853027344,0.8993959697477285,3.5313825607299805
PMWM (reservoir),168 h,temperature_c,1.0174631357661699,0.8029229640960693,-0.309662789106369,0.35938809701474767,0.21432699540238997,0.39703300055921387,2.1589366374044867,1.602897047996521,-0.5656784176826477,0.9363478546371032,0.5659728050231934,1.4059932231903076,0.8848408710217756,3.169877052307129
PMWM (reservoir),168 h,pressure_hpa,1.023748452507964,0.8027786612510681,-0.08687110990285873,0.12780917678512801,0.01376247594216895,0.4689095630773841,6.784834094791681,4.546902656555176,-0.3115461468696594,0.3112994210991651,0.5682526230812073,1.414847731590271,0.9016547383381555,3.317636489868164
PMWM (reservoir),168 h,wind_speed_ms,0.9805012123843512,0.7766501307487488,-0.002514872932806611,0.1242885732240562,0.016115219749475274,0.4811482281707853,1.918497482731619,1.381156086921692,-0.014532123692333698,0.47752564094580374,0.5459838509559631,1.3716851472854614,0.8979239632505964,3.0904994010925293
PMWM (reservoir),168 h,precipitation_mm,1.3194423268395994,0.957645833492279,0.01224853191524744,0.14458423426257874,0.020066412073853845,0.48291893214770254,1.4532058037062112,0.6918866038322449,-0.2504954934120178,0.09988837981430643,0.6777029633522034,1.620705485343933,0.8980762397847825,3.607804536819458
PMWM (no event slots),6 h,temperature_c,0.3477447054341312,0.2594902813434601,-0.011496497318148613,0.9373667293610083,0.8963746596997697,0.9643134184183828,0.6979648492796767,0.5042733550071716,-0.04700532928109169,0.9921052128828807,0.184601292014122,0.2515760660171509,0.9081011116186996,1.0994977951049805
PMWM (no event slots),6 h,pressure_hpa,0.24276449320513918,0.17278432846069336,-0.009080146439373493,0.971994017825256,0.9448734936306364,0.9305182363905632,1.195212565713727,0.8038817644119263,0.04787551239132881,0.9784277739777281,0.12302817404270172,-0.20190824568271637,0.8956651946601696,0.6890392899513245
PMWM (no event slots),6 h,wind_speed_ms,0.6983146363132391,0.5319197177886963,-0.018253803253173828,0.7467644758493357,0.5518891667928262,0.46728766429339075,1.221932193754143,0.8770141005516052,-0.025824036449193954,0.7882333957301582,0.3757232129573822,0.9695464968681335,0.8956651946601696,2.1252758502960205
PMWM (no event slots),6 h,precipitation_mm,0.667255109626641,0.40913161635398865,-0.045907601714134216,0.8702388595355552,0.7448234030704233,0.3808972349728923,0.8547934736703332,0.34178441762924194,-0.12465956062078476,0.6639496383905295,0.29483336210250854,0.5590317249298096,0.8987995533221664,1.546722173690796
PMWM (no event slots),24 h,temperature_c,0.6325814567102221,0.47499173879623413,-0.12045562267303467,0.8014239380810584,0.6963950582133109,0.36533113381010673,1.3513311287294711,0.9506679773330688,-0.2065722942352295,0.9750609793359897,0.3386688232421875,0.8691930770874023,0.8926704228211766,1.9089521169662476
PMWM (no event slots),24 h,pressure_hpa,0.6556480235301929,0.4938192069530487,0.016282420605421066,0.771075158365853,0.595434273066844,0.40133370842179295,4.165114049918456,2.7177977561950684,0.16513985395431519,0.740658601192428,0.3528331518173218,0.9271206855773926,0.8970991320237551,2.021378993988037
PMWM (no event slots),24 h,wind_speed_ms,0.8910561572015904,0.6966299414634705,-0.030114764347672462,0.43477495231215096,0.18773092955009185,0.365768625582344,1.76630152341687,1.2501364946365356,-0.06428273767232895,0.5573280056313534,0.49191561341285706,1.2608946561813354,0.8978732044058677,2.792038917541504
PMWM (no event slots),24 h,precipitation_mm,1.157371595605725,0.7589154243469238,-0.0947946161031723,0.5070385997099293,0.2462238798961569,0.44262740047456417,1.367034336775071,0.5956640839576721,-0.2629135549068451,0.20377613537863803,0.5502387881278992,1.344741940498352,0.8978478249835034,2.8513855934143066
PMWM (no event slots),72 h,temperature_c,0.9246674610066686,0.7194696068763733,-0.22248084843158722,0.5021008132030071,0.35120700301097196,0.38406205389680204,1.9834505465943744,1.4450856447219849,-0.40739887952804565,0.9462778447188487,0.5083808898925781,1.2908378839492798,0.8884193695751484,2.840287685394287
PMWM (no event slots),72 h,pressure_hpa,0.979550725950465,0.7632580399513245,-0.028569091111421585,0.3055535165020813,0.09695148084073246,0.4382167739847934,6.362190991525363,4.281432628631592,0.028849437832832336,0.39481213952120076,0.5414175391197205,1.3674445152282715,0.9004365260646667,3.131448745727539
PMWM (no event slots),72 h,wind_speed_ms,0.9698889098017436,0.7647501230239868,-0.021322956308722496,0.19359437690277256,0.037538815098343004,0.47364918650429166,1.908797203834289,1.3685768842697144,-0.047007713466882706,0.4829556431244525,0.538396954536438,1.3575668334960938,0.8985076899649764,3.046769618988037
